gx,gy,gz,acx,acy,acz,time
-0.31,2.01,0.24,0.67,-0.7,0.22,2022-03-28 9:23:47
1.22,-3.36,-0.06,0.65,-0.71,0.21,2022-03-28 9:23:47
0.61,-0.92,-0.24,0.64,-0.72,0.23,2022-03-28 9:23:47
-1.28,0.49,-0.31,0.65,-0.71,0.22,2022-03-28 9:23:47
-1.34,2.2,0.12,0.65,-0.7,0.22,2022-03-28 9:23:48
0.61,-0.06,-0.31,0.65,-0.7,0.22,2022-03-28 9:23:48
0.61,0.31,0.55,0.65,-0.71,0.22,2022-03-28 9:23:48
0.43,0.92,0.61,0.65,-0.71,0.22,2022-03-28 9:23:48
-0.55,0.79,1.28,0.65,-0.71,0.22,2022-03-28 9:23:48
-1.46,0.73,1.04,0.65,-0.71,0.23,2022-03-28 9:23:48
-1.28,0,1.1,0.65,-0.7,0.22,2022-03-28 9:23:48
-1.22,1.53,1.22,0.67,-0.7,0.22,2022-03-28 9:23:48
-2.5,-0.61,0.73,0.66,-0.7,0.24,2022-03-28 9:23:48
-1.59,-1.83,-2.32,0.67,-0.68,0.23,2022-03-28 9:23:49
-1.83,0.18,-3.23,0.7,-0.68,0.23,2022-03-28 9:23:49
-4.09,-6.1,-4.27,0.68,-0.67,0.26,2022-03-28 9:23:49
-2.08,-8.12,-2.2,0.65,-0.67,0.26,2022-03-28 9:23:49
-5.19,-8.54,0.79,0.63,-0.74,0.28,2022-03-28 9:23:49
-12.76,-16.17,-5.98,0.54,-0.72,0.43,2022-03-28 9:23:49
-8.06,33.45,-7.39,0.66,-0.58,0.43,2022-03-28 9:23:49
-1.34,0.49,-8.85,0.61,-0.49,0.4,2022-03-28 9:23:49
23.44,12.21,-5.92,0.61,-0.6,0.42,2022-03-28 9:23:50
31.56,24.6,3.11,0.8,-0.87,0.19,2022-03-28 9:23:50
-14.53,1.65,5.55,0.68,-0.71,0.13,2022-03-28 9:23:50
-4.88,-60.85,18.92,0.57,-0.77,0.04,2022-03-28 9:23:50
2.93,-8.85,-10.99,0.72,-0.63,0.29,2022-03-28 9:23:50
-29.97,-45.04,2.5,0.72,-0.66,0.29,2022-03-28 9:23:50
-12.51,16.72,3.54,0.68,-0.87,0.51,2022-03-28 9:23:50
-32.53,9.34,-5.31,0.54,-0.62,0.4,2022-03-28 9:23:50
-6.9,-35.03,11.29,0.39,-0.7,0.19,2022-03-28 9:23:51
16.17,83.31,-20.32,0.6,-0.53,0.4,2022-03-28 9:23:51
-12.39,34.67,8.97,0.81,-0.39,0.39,2022-03-28 9:23:51
50.17,5.68,13.06,0.9,-0.94,0.17,2022-03-28 9:23:51
18.49,18.31,-7.75,0.71,-0.83,0.32,2022-03-28 9:23:51
-5.98,-98.39,-1.4,0.51,-0.67,0.1,2022-03-28 9:23:51
14.16,-34.18,-8.06,0.54,-0.59,0.12,2022-03-28 9:23:51
-9.34,1.53,2.5,0.68,-0.87,0.42,2022-03-28 9:23:51
-51.94,42.05,7.14,0.79,-0.91,0.47,2022-03-28 9:23:51
-18.01,-87.83,-3.05,0.4,-0.54,0.14,2022-03-28 9:23:52
22.89,45.35,-3.78,0.3,-0.67,0.37,2022-03-28 9:23:52
6.84,62.93,-9.52,0.75,-0.51,0.47,2022-03-28 9:23:52
14.28,2.5,23.5,0.79,-0.68,0.29,2022-03-28 9:23:52
50.23,39.43,3.11,0.64,-1.03,0.4,2022-03-28 9:23:52
7.63,-37.05,-6.96,0.58,-0.53,0.11,2022-03-28 9:23:52
-10.01,40.77,7.93,0.72,-0.97,0.46,2022-03-28 9:23:53
-24.41,-44.74,-3.17,0.34,-0.54,0.1,2022-03-28 9:23:53
-5,65.49,-6.96,0.73,-0.5,0.53,2022-03-28 9:23:53
6.59,5.8,7.14,0.76,-0.45,0.31,2022-03-28 9:23:53
51.57,33.26,-11.84,0.63,-1.02,0.48,2022-03-28 9:23:53
2.26,-5.25,-14.16,0.58,-0.54,0.11,2022-03-28 9:23:53
-1.22,3.48,0.18,0.75,-0.68,0.32,2022-03-28 9:23:53
-35.46,22.34,12.76,0.85,-0.92,0.34,2022-03-28 9:23:54
-14.59,-101.26,2.26,0.4,-0.68,0.15,2022-03-28 9:23:54
-2.26,47.06,-6.84,0.53,-0.54,0.52,2022-03-28 9:23:54
-3.36,9.28,0.85,0.68,-0.41,0.46,2022-03-28 9:23:54
33.81,51.88,15.32,0.86,-0.9,0.21,2022-03-28 9:23:54
8.36,17.4,-12.57,0.84,-0.66,0.12,2022-03-28 9:23:54
3.97,-57.25,1.71,0.45,-0.74,0.23,2022-03-28 9:23:54
-6.53,-9.64,-4.82,0.57,-0.67,0.25,2022-03-28 9:23:55
-24.54,27.77,3.91,0.91,-0.89,0.46,2022-03-28 9:23:55
-26.43,-48.58,9.03,0.42,-0.7,0.32,2022-03-28 9:23:55
-12.39,-39.79,-6.47,0.32,-0.55,0.18,2022-03-28 9:23:55
7.32,64.94,-6.53,0.59,-0.53,0.55,2022-03-28 9:23:55
4.15,-3.48,-0.61,0.73,-0.44,0.42,2022-03-28 9:23:55
28.63,30.15,16.72,0.79,-0.88,0.21,2022-03-28 9:23:55
36.44,38.45,-15.01,0.76,-0.82,0.41,2022-03-28 9:23:55
5.13,-75.74,5.19,0.55,-0.71,0.21,2022-03-28 9:23:55
10.25,-37.05,-2.01,0.51,-0.61,0.15,2022-03-28 9:23:56
-15.62,40.28,9.03,0.74,-0.97,0.44,2022-03-28 9:23:56
-33.26,-9.16,-3.97,0.5,-0.66,0.43,2022-03-28 9:23:56
-12.63,-11.78,2.26,0.36,-0.6,0.19,2022-03-28 9:23:56
-10.31,53.16,-7.63,0.74,-0.49,0.57,2022-03-28 9:23:56
-1.83,4.39,11.78,0.61,-0.46,0.37,2022-03-28 9:23:56
54.69,69.7,5.37,0.76,-1.04,0.39,2022-03-28 9:23:56
-8.79,-17.52,-14.4,0.79,-0.64,0.08,2022-03-28 9:23:56
